dest_country,VerwerkingsMethode,amount
Drenthe,vA BEWAREN,202.17999999999998
Drenthe,vC FYSISCH VERWERKEN,4515.13
Flevoland,vA BEWAREN,7904.870000000001
Flevoland,vC FYSISCH VERWERKEN,6161.369999999998
Flevoland,vG STORTEN,38.440000000000005
Friesland,vA BEWAREN,2803.543000000001
Friesland,vC FYSISCH VERWERKEN,638.9630000000001
Friesland,vG STORTEN,1033.6799999999998
Gelderland,vA BEWAREN,8797.528
Gelderland,vB INZETTEN,916.1400000000001
Gelderland,vC FYSISCH VERWERKEN,20201.699999999997
Gelderland,vD CHEMISCH VERWERKEN,12640.39
Gelderland,vG STORTEN,29514.192000000006
Groningen,vA BEWAREN,2410.9240000000004
Groningen,vC FYSISCH VERWERKEN,3573.9
Groningen,vF VERBRANDEN,6828.246
Limburg,vA BEWAREN,281.0
Limburg,vB INZETTEN,9699.96
Limburg,vC FYSISCH VERWERKEN,205.56
Noord-Brabant,vA BEWAREN,6892.162999999996
Noord-Brabant,vC FYSISCH VERWERKEN,31821.891999999996
Noord-Brabant,vD CHEMISCH VERWERKEN,2887.16
Noord-Brabant,vF VERBRANDEN,5259.809
Noord-Holland,vA BEWAREN,83640.75700000001
Noord-Holland,vB INZETTEN,1309.44
Noord-Holland,vC FYSISCH VERWERKEN,168585.5009999999
Noord-Holland,vD CHEMISCH VERWERKEN,8813.279
Noord-Holland,vE BIOLOGISCH VERWERKEN,1688.46
Noord-Holland,vF VERBRANDEN,0.54
Noord-Holland,vG STORTEN,243.85999999999999
Overijssel,vA BEWAREN,2293.4550000000004
Overijssel,vB INZETTEN,8567.86
Overijssel,vC FYSISCH VERWERKEN,3253.8700000000003
Utrecht,vA BEWAREN,77988.79099999994
Utrecht,vB INZETTEN,6933.060000000001
Utrecht,vC FYSISCH VERWERKEN,164687.39800000004
Utrecht,vD CHEMISCH VERWERKEN,149951.02
Utrecht,vE BIOLOGISCH VERWERKEN,939.43
Utrecht,vF VERBRANDEN,21054.139999999992
Utrecht,vG STORTEN,6071.439999999999
Zeeland,vA BEWAREN,2.46
Zeeland,vC FYSISCH VERWERKEN,1063.925
Zuid-Holland,vA BEWAREN,56625.70699999998
Zuid-Holland,vB INZETTEN,3187.901
Zuid-Holland,vC FYSISCH VERWERKEN,37168.480999999985
Zuid-Holland,vD CHEMISCH VERWERKEN,8.46
Zuid-Holland,vF VERBRANDEN,87645.66499999995
Zuid-Holland,vG STORTEN,5.32
